SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
Home,60 a 69,20/05/2021,Cas,Parcial,18
Dona,20 a 29,25/01/2021,Cas,No iniciada,247
Home,30 a 39,05/07/2021,Cas,Completa,31
Dona,10 a 19,22/01/2021,Cas,No iniciada,241
Home,60 a 69,22/12/2021,Crítics,No iniciada,5
Home,30 a 39,15/03/2021,Cas,Parcial,2
Dona,70 a 79,21/10/2021,Cas,Completa,8
Dona,70 a 79,01/02/2021,Cas,No iniciada,87
Home,60 a 69,29/07/2021,Cas,Completa,94
Home,40 a 49,30/07/2021,Cas,Completa,98
Dona,30 a 39,14/04/2021,Cas,Parcial,7
Dona,70 a 79,24/07/2021,Cas,Completa,52
Home,0 a 9,24/03/2021,Cas,No iniciada,78
Dona,30 a 39,29/11/2021,Cas,Completa,167
Dona,20 a 29,22/04/2021,Cas,No iniciada,100
Dona,0 a 9,14/05/2021,Cas,No iniciada,39
Dona,50 a 59,28/04/2021,Cas,No iniciada,106
No classificat,No classificat,03/05/2021,Cas,No iniciada,26
Dona,0 a 9,21/12/2021,Hospitalització,No iniciada,1
Home,70 a 79,23/10/2021,Cas,Completa,6
Home,80 o més,03/11/2021,Cas,Completa,12
Home,80 o més,11/08/2021,Hospitalització,Completa,11
Dona,0 a 9,18/04/2021,Cas,No iniciada,20
Home,0 a 9,13/05/2021,Cas,No iniciada,30
Home,40 a 49,22/10/2021,Cas,Completa,21
Dona,40 a 49,24/05/2021,Cas,Parcial,5
Dona,70 a 79,16/11/2021,Hospitalització,No iniciada,1
Dona,0 a 9,31/01/2021,Cas,No iniciada,15
Dona,20 a 29,01/08/2021,Cas,Completa,16
Dona,50 a 59,10/09/2021,Cas,No iniciada,3
Home,20 a 29,21/06/2021,Cas,No iniciada,112
Dona,20 a 29,08/11/2021,Cas,No iniciada,10
No classificat,No classificat,15/10/2021,Hospitalització,No iniciada,1
Dona,60 a 69,07/05/2021,Cas,No iniciada,27
Home,50 a 59,08/07/2021,Cas,No iniciada,57
Home,50 a 59,26/11/2021,Hospitalització,No iniciada,1
Home,60 a 69,19/03/2021,Cas,No iniciada,64
Dona,20 a 29,05/03/2021,Cas,No iniciada,63
Dona,60 a 69,26/07/2021,Cas,No iniciada,36
Home,40 a 49,22/08/2021,Cas,Completa,24
Dona,80 o més,27/11/2021,Crítics,Completa,1
Home,40 a 49,13/02/2021,Crítics,No iniciada,1
Dona,50 a 59,24/04/2021,Cas,Parcial,2
Home,30 a 39,27/02/2021,Cas,No iniciada,39
Home,60 a 69,20/08/2021,Cas,No iniciada,7
Home,60 a 69,18/07/2021,Cas,Completa,53
Dona,10 a 19,14/03/2021,Cas,No iniciada,18
Dona,40 a 49,26/10/2021,Cas,No iniciada,4
Home,60 a 69,15/12/2021,Defunció,Completa,2
Dona,20 a 29,01/09/2021,Cas,Completa,19
Dona,20 a 29,17/12/2021,Hospitalització,No iniciada,1
Home,60 a 69,30/11/2021,Cas,No iniciada,5
Home,60 a 69,13/07/2021,Cas,Parcial,98
Dona,60 a 69,19/02/2021,Cas,No iniciada,59
No classificat,No classificat,09/01/2021,Hospitalització,No iniciada,1
Home,30 a 39,02/06/2021,Cas,Completa,1
Dona,60 a 69,06/08/2021,Cas,Completa,86
Home,30 a 39,23/03/2021,Hospitalització,No iniciada,1
Dona,50 a 59,07/07/2021,Cas,No iniciada,69
Home,60 a 69,10/02/2021,Cas,No iniciada,75
Dona,50 a 59,02/11/2021,Cas,Completa,27
Home,40 a 49,26/07/2021,Cas,Parcial,63
Home,70 a 79,04/11/2021,Defunció,Completa,1
Dona,50 a 59,02/04/2021,Hospitalització,No iniciada,7
Dona,40 a 49,31/01/2021,Cas,No iniciada,105
Home,20 a 29,03/04/2021,Cas,No iniciada,62
Dona,50 a 59,26/11/2021,Cas,Parcial,1
Home,60 a 69,30/07/2021,Cas,Completa,73
Home,40 a 49,05/08/2021,Cas,Completa,63
Home,60 a 69,14/07/2021,Cas,Completa,79
Home,70 a 79,05/05/2021,Cas,No iniciada,19
Dona,60 a 69,06/11/2021,Cas,Completa,17
Dona,30 a 39,01/09/2021,Cas,Completa,25
Home,30 a 39,03/09/2021,Cas,Completa,10
Home,20 a 29,30/01/2021,Cas,No iniciada,62
No classificat,No classificat,28/11/2021,Cas,No iniciada,24
Dona,50 a 59,07/09/2021,Cas,Completa,16
Home,70 a 79,24/01/2021,Cas,No iniciada,47
Home,70 a 79,16/12/2021,Crítics,No iniciada,2
Dona,30 a 39,25/04/2021,Cas,No iniciada,59
Dona,30 a 39,29/03/2021,Cas,No iniciada,134
Dona,20 a 29,14/02/2021,Cas,No iniciada,26
Home,70 a 79,30/07/2021,Cas,No iniciada,6
Dona,30 a 39,06/05/2021,Cas,No iniciada,93
Home,0 a 9,23/01/2021,Cas,No iniciada,68
Home,70 a 79,17/03/2021,Cas,Parcial,3
Dona,60 a 69,22/06/2021,Cas,No iniciada,7
Home,60 a 69,29/05/2021,Cas,Parcial,4
Dona,70 a 79,28/08/2021,Cas,Completa,17
Home,20 a 29,25/10/2021,Cas,No iniciada,5
Dona,60 a 69,03/09/2021,Cas,Completa,24
Home,10 a 19,07/08/2021,Cas,Parcial,4
Home,20 a 29,17/12/2021,Cas,Parcial,10
Dona,50 a 59,30/05/2021,Hospitalització,No iniciada,1
Dona,0 a 9,22/04/2021,Cas,No iniciada,83
Dona,40 a 49,03/05/2021,Cas,Parcial,10
Home,20 a 29,25/07/2021,Cas,Parcial,12
Dona,70 a 79,26/07/2021,Cas,Completa,103
Dona,60 a 69,29/08/2021,Cas,Completa,19
Dona,60 a 69,23/09/2021,Cas,Parcial,1
Dona,60 a 69,24/02/2021,Hospitalització,No iniciada,7
Home,60 a 69,04/04/2021,Cas,No iniciada,39
Dona,40 a 49,24/04/2021,Cas,No iniciada,74
Dona,40 a 49,29/03/2021,Cas,Parcial,7
Dona,30 a 39,07/09/2021,Cas,No iniciada,21
Home,30 a 39,04/02/2021,Cas,Parcial,2
Home,50 a 59,01/06/2021,Cas,Parcial,11
Home,70 a 79,14/04/2021,Cas,No iniciada,66
Dona,10 a 19,21/02/2021,Cas,No iniciada,37
Dona,40 a 49,09/08/2021,Cas,No iniciada,89
Home,70 a 79,21/01/2021,Cas,No iniciada,127
Dona,50 a 59,20/06/2021,Cas,No iniciada,5
Dona,30 a 39,14/08/2021,Cas,Completa,27
Dona,30 a 39,04/12/2021,Cas,Completa,97
Dona,30 a 39,11/08/2021,Cas,Parcial,17
Dona,20 a 29,27/04/2021,Cas,Parcial,8
Dona,60 a 69,12/11/2021,Hospitalització,Completa,1
Dona,50 a 59,09/07/2021,Cas,Parcial,54
Home,60 a 69,26/10/2021,Cas,No iniciada,1
Home,40 a 49,20/10/2021,Cas,Completa,17
Home,70 a 79,24/03/2021,Cas,No iniciada,53
Home,60 a 69,07/05/2021,Hospitalització,No iniciada,10
Home,50 a 59,08/08/2021,Cas,Completa,22
Home,10 a 19,18/10/2021,Cas,No iniciada,11
Dona,10 a 19,24/08/2021,Cas,Parcial,8
Home,10 a 19,16/10/2021,Cas,No iniciada,3
Dona,10 a 19,15/07/2021,Cas,Completa,11
Dona,80 o més,26/11/2021,Cas,Completa,33
Dona,30 a 39,07/08/2021,Cas,Parcial,10
Home,50 a 59,29/05/2021,Cas,Completa,2
Home,80 o més,11/12/2021,Cas,Completa,26
Dona,70 a 79,05/11/2021,Cas,Completa,20
Dona,60 a 69,07/08/2021,Cas,Completa,36
Home,40 a 49,06/08/2021,Cas,Completa,73
Dona,50 a 59,22/06/2021,Cas,Completa,8
Home,10 a 19,04/06/2021,Cas,No iniciada,45
Dona,70 a 79,31/08/2021,Cas,Completa,21
Dona,70 a 79,18/03/2021,Cas,No iniciada,34
Dona,20 a 29,06/04/2021,Cas,Parcial,12
Dona,50 a 59,30/09/2021,Cas,Completa,23
Home,0 a 9,22/06/2021,Cas,No iniciada,30
Dona,60 a 69,07/06/2021,Cas,Parcial,11
Home,50 a 59,28/07/2021,Cas,Completa,75
Dona,60 a 69,08/09/2021,Cas,Completa,23
Home,30 a 39,20/08/2021,Cas,Parcial,14
Dona,40 a 49,28/11/2021,Cas,Completa,74
Home,60 a 69,24/01/2021,Cas,No iniciada,67
Home,30 a 39,15/11/2021,Cas,Completa,50
Home,60 a 69,22/05/2021,Cas,Parcial,6
Dona,70 a 79,17/07/2021,Cas,No iniciada,8
Home,60 a 69,19/10/2021,Cas,Completa,14
Dona,50 a 59,27/11/2021,Hospitalització,No iniciada,1
Home,30 a 39,29/07/2021,Cas,Completa,23
Dona,20 a 29,18/07/2021,Cas,Completa,31
Home,40 a 49,11/08/2021,Cas,Parcial,4
Home,40 a 49,09/09/2021,Cas,Completa,20
Dona,50 a 59,29/01/2021,Cas,Parcial,5
Home,0 a 9,15/01/2021,Cas,No iniciada,131
Home,70 a 79,26/10/2021,Cas,No iniciada,1
Home,70 a 79,21/07/2021,Cas,No iniciada,8
Home,10 a 19,27/02/2021,Cas,No iniciada,48
Dona,50 a 59,10/08/2021,Cas,Completa,78
Home,30 a 39,24/07/2021,Cas,Parcial,35
Home,50 a 59,27/07/2021,Cas,No iniciada,54
Dona,10 a 19,06/11/2021,Cas,Completa,8
Dona,60 a 69,03/07/2021,Cas,Completa,9
Home,50 a 59,14/08/2021,Cas,Parcial,2
Home,60 a 69,06/05/2021,Cas,No iniciada,19
Home,40 a 49,04/09/2021,Cas,No iniciada,10
Dona,50 a 59,18/01/2021,Hospitalització,No iniciada,17
Home,40 a 49,15/12/2021,Cas,Parcial,4
Dona,50 a 59,21/12/2021,Hospitalització,Completa,3
Dona,50 a 59,25/05/2021,Cas,Parcial,9
Home,20 a 29,29/08/2021,Cas,No iniciada,17
Home,70 a 79,10/02/2021,Cas,No iniciada,38
Home,60 a 69,14/09/2021,Cas,No iniciada,4
Home,50 a 59,07/09/2021,Cas,Completa,30
Home,60 a 69,20/12/2021,Cas,Parcial,3
Home,70 a 79,14/07/2021,Cas,Completa,67
Dona,60 a 69,25/10/2021,Cas,No iniciada,4
Dona,20 a 29,10/05/2021,Cas,Parcial,5
Dona,60 a 69,15/05/2021,Cas,Parcial,4
Dona,60 a 69,08/05/2021,Cas,No iniciada,7
Dona,30 a 39,31/05/2021,Cas,Completa,2
Home,10 a 19,23/07/2021,Cas,Completa,5
Dona,40 a 49,25/04/2021,Cas,Parcial,5
Dona,60 a 69,14/08/2021,Cas,Completa,33
Home,40 a 49,16/02/2021,Cas,No iniciada,179
Dona,70 a 79,30/10/2021,Cas,Completa,4
Home,40 a 49,04/05/2021,Cas,Completa,2
Dona,20 a 29,13/05/2021,Cas,Parcial,3
Dona,50 a 59,30/07/2021,Hospitalització,No iniciada,14
Dona,0 a 9,25/01/2021,Cas,No iniciada,170
Home,0 a 9,19/07/2021,Cas,No iniciada,290
Home,50 a 59,12/09/2021,Cas,Completa,5
Dona,0 a 9,22/08/2021,Cas,No iniciada,24
Dona,50 a 59,13/07/2021,Cas,No iniciada,92
Dona,40 a 49,02/12/2021,Cas,Completa,293
Dona,30 a 39,09/03/2021,Cas,Completa,1
Dona,50 a 59,04/12/2021,Hospitalització,No iniciada,2
Home,20 a 29,06/02/2021,Hospitalització,No iniciada,2
Dona,30 a 39,18/11/2021,Hospitalització,No iniciada,2
Dona,60 a 69,11/07/2021,Cas,Completa,18
Dona,50 a 59,30/03/2021,Cas,Parcial,6
No classificat,No classificat,02/03/2021,Cas,No iniciada,34
Home,50 a 59,21/08/2021,Cas,Completa,23
Dona,60 a 69,08/09/2021,Cas,No iniciada,4
Home,40 a 49,27/04/2021,Cas,Parcial,8
Home,60 a 69,07/08/2021,Cas,Completa,33
Dona,10 a 19,01/05/2021,Cas,No iniciada,48
Home,60 a 69,22/12/2021,Hospitalització,No iniciada,4
Dona,80 o més,16/12/2021,Hospitalització,Completa,19
Dona,70 a 79,27/08/2021,Cas,Completa,37
Dona,30 a 39,01/02/2021,Cas,Parcial,6
Home,10 a 19,15/03/2021,Cas,No iniciada,122
Dona,20 a 29,25/07/2021,Cas,Parcial,14
Home,20 a 29,03/01/2021,Cas,No iniciada,110
Dona,70 a 79,08/05/2021,Cas,Parcial,4
Dona,70 a 79,18/03/2021,Cas,Parcial,2
Home,60 a 69,02/01/2021,Cas,No iniciada,100
Dona,30 a 39,21/08/2021,Cas,No iniciada,32
Home,60 a 69,25/04/2021,Cas,No iniciada,22
Dona,60 a 69,04/05/2021,Cas,Parcial,17
Home,20 a 29,22/10/2021,Cas,No iniciada,6
Dona,70 a 79,04/12/2021,Hospitalització,No iniciada,1
Home,60 a 69,07/06/2021,Cas,Parcial,14
Dona,60 a 69,13/08/2021,Cas,Parcial,1
Dona,30 a 39,22/12/2021,Hospitalització,Completa,3
Home,60 a 69,24/04/2021,Cas,No iniciada,27
Home,70 a 79,08/03/2021,Cas,No iniciada,41
Dona,30 a 39,27/03/2021,Cas,Parcial,3
Home,60 a 69,23/04/2021,Cas,No iniciada,45
Home,20 a 29,06/07/2021,Cas,Completa,38
Dona,40 a 49,26/04/2021,Cas,Parcial,14
Home,20 a 29,10/10/2021,Hospitalització,No iniciada,1
Home,20 a 29,16/08/2021,Cas,Parcial,20
Dona,10 a 19,24/09/2021,Cas,Completa,2
Dona,60 a 69,26/04/2021,Cas,Parcial,25
Home,60 a 69,24/04/2021,Cas,Parcial,9
Dona,30 a 39,15/08/2021,Cas,Parcial,7
Dona,50 a 59,30/08/2021,Cas,Completa,44
Dona,40 a 49,04/06/2021,Cas,Parcial,3
Dona,30 a 39,28/06/2021,Cas,Parcial,6
Dona,20 a 29,08/08/2021,Hospitalització,No iniciada,8
Home,60 a 69,07/12/2021,Cas,Parcial,2
Home,30 a 39,02/07/2021,Cas,Completa,17
Home,30 a 39,09/09/2021,Cas,Completa,10
Home,60 a 69,08/08/2021,Cas,Completa,24
Home,20 a 29,04/08/2021,Cas,Completa,17
Dona,40 a 49,05/09/2021,Cas,Completa,18
Home,30 a 39,31/08/2021,Hospitalització,No iniciada,3
Dona,20 a 29,27/07/2021,Cas,Parcial,36
Dona,30 a 39,28/04/2021,Cas,Completa,2
Home,50 a 59,22/06/2021,Cas,Parcial,12
Home,0 a 9,14/02/2021,Cas,No iniciada,15
Home,50 a 59,27/08/2021,Cas,No iniciada,12
Dona,80 o més,16/12/2021,Hospitalització,No iniciada,3
Home,50 a 59,27/06/2021,Cas,No iniciada,9
Home,10 a 19,21/11/2021,Cas,No iniciada,11
Home,60 a 69,28/07/2021,Cas,No iniciada,24
Home,70 a 79,02/08/2021,Cas,No iniciada,15
Dona,60 a 69,06/05/2021,Cas,No iniciada,26
Dona,10 a 19,15/11/2021,Cas,No iniciada,54
Home,0 a 9,17/03/2021,Cas,No iniciada,63
Dona,40 a 49,21/04/2021,Cas,Completa,8
Home,60 a 69,21/08/2021,Cas,No iniciada,8
Dona,60 a 69,13/03/2021,Hospitalització,No iniciada,4
Home,50 a 59,02/09/2021,Cas,Completa,24
Home,40 a 49,20/04/2021,Cas,No iniciada,161
Dona,70 a 79,20/02/2021,Cas,No iniciada,15
Home,70 a 79,12/12/2021,Crítics,Completa,3
Dona,30 a 39,01/08/2021,Cas,Completa,25
Home,50 a 59,31/07/2021,Cas,No iniciada,25
Dona,0 a 9,27/01/2021,Cas,No iniciada,151
Home,60 a 69,18/11/2021,Crítics,No iniciada,1
Home,20 a 29,14/11/2021,Cas,Completa,13
Dona,50 a 59,25/06/2021,Cas,Parcial,13
Home,0 a 9,17/04/2021,Cas,No iniciada,34
Home,30 a 39,23/05/2021,Cas,Completa,1
Dona,10 a 19,26/06/2021,Cas,Parcial,1
Home,80 o més,24/10/2021,Cas,Completa,4
Home,40 a 49,05/08/2021,Crítics,No iniciada,3
Home,10 a 19,21/07/2021,Cas,Parcial,13
Dona,50 a 59,05/09/2021,Cas,Completa,8
Dona,10 a 19,10/09/2021,Cas,Parcial,5
Home,60 a 69,31/08/2021,Cas,Completa,27
Dona,30 a 39,21/06/2021,Cas,Completa,6
Dona,60 a 69,05/09/2021,Cas,Completa,11
Home,60 a 69,18/05/2021,Cas,No iniciada,11
Home,50 a 59,16/12/2021,Cas,Parcial,3
Dona,40 a 49,24/03/2021,Cas,Completa,2
Dona,70 a 79,02/05/2021,Cas,No iniciada,14
Dona,40 a 49,04/08/2021,Cas,Completa,113
Home,60 a 69,20/06/2021,Cas,Parcial,13
Home,30 a 39,09/09/2021,Cas,Parcial,2
Home,10 a 19,24/01/2021,Cas,No iniciada,60
Home,80 o més,27/11/2021,Crítics,Completa,1
Home,0 a 9,09/05/2021,Cas,No iniciada,9
Home,30 a 39,14/03/2021,Cas,No iniciada,28
Dona,50 a 59,11/07/2021,Cas,No iniciada,46
No classificat,No classificat,03/03/2021,Cas,No iniciada,32
Home,10 a 19,30/08/2021,Cas,Parcial,12
Dona,40 a 49,10/12/2021,Crítics,No iniciada,1
Home,80 o més,10/03/2021,Hospitalització,Parcial,1
Home,50 a 59,15/05/2021,Cas,No iniciada,34
Dona,80 o més,04/12/2021,Crítics,Completa,1
Home,10 a 19,09/11/2021,Hospitalització,No iniciada,1
Dona,20 a 29,03/09/2021,Cas,Completa,18
Home,60 a 69,14/01/2021,Cas,No iniciada,187
Dona,20 a 29,10/12/2021,Cas,No iniciada,66
Home,30 a 39,14/09/2021,Cas,Completa,15
Dona,30 a 39,03/05/2021,Cas,Parcial,7
Dona,0 a 9,21/05/2021,Cas,No iniciada,24
Home,0 a 9,18/02/2021,Cas,No iniciada,96
Home,70 a 79,27/02/2021,Cas,No iniciada,18
No classificat,No classificat,24/01/2021,Cas,No iniciada,31
Home,30 a 39,10/09/2021,Cas,Parcial,2
Dona,60 a 69,03/09/2021,Cas,No iniciada,4
Home,20 a 29,25/07/2021,Cas,Completa,10
Dona,50 a 59,27/10/2021,Hospitalització,No iniciada,2
Dona,40 a 49,22/03/2021,Cas,Completa,4
Home,70 a 79,02/05/2021,Cas,No iniciada,11
Home,0 a 9,24/01/2021,Cas,No iniciada,26
Dona,60 a 69,02/06/2021,Cas,No iniciada,6
Home,10 a 19,24/08/2021,Cas,Completa,4
Dona,60 a 69,12/04/2021,Cas,Parcial,8
Dona,20 a 29,11/08/2021,Cas,No iniciada,118
No classificat,No classificat,07/12/2021,Cas,Completa,10
Dona,10 a 19,12/12/2021,Hospitalització,Completa,1
Home,40 a 49,15/08/2021,Cas,Completa,30
Dona,80 o més,29/10/2021,Cas,Completa,9
Dona,60 a 69,09/01/2021,Cas,No iniciada,99
Dona,50 a 59,28/05/2021,Cas,Parcial,13
Dona,10 a 19,05/07/2021,Cas,Parcial,4
Dona,70 a 79,17/09/2021,Cas,Completa,13
Dona,0 a 9,15/06/2021,Cas,No iniciada,19
Dona,50 a 59,17/04/2021,Cas,Parcial,6
Dona,60 a 69,11/08/2021,Cas,No iniciada,13
Dona,50 a 59,02/07/2021,Cas,No iniciada,39
Home,50 a 59,04/11/2021,Cas,No iniciada,3
Dona,70 a 79,10/02/2021,Cas,Parcial,5
Dona,70 a 79,25/04/2021,Cas,Parcial,4
Home,70 a 79,04/12/2021,Hospitalització,No iniciada,1
Dona,40 a 49,21/04/2021,Cas,Parcial,8
Home,20 a 29,11/09/2021,Cas,Parcial,2
Home,60 a 69,02/03/2021,Cas,Parcial,1
Dona,10 a 19,01/10/2021,Cas,No iniciada,13
Dona,30 a 39,05/04/2021,Cas,Completa,2
Dona,60 a 69,04/07/2021,Cas,No iniciada,5
Dona,40 a 49,25/08/2021,Cas,No iniciada,27
Dona,40 a 49,22/04/2021,Cas,Parcial,9
Dona,60 a 69,03/06/2021,Cas,Parcial,14
Home,60 a 69,07/07/2021,Cas,No iniciada,19
Home,40 a 49,12/09/2021,Cas,No iniciada,8
Dona,10 a 19,19/08/2021,Cas,Completa,2
Home,20 a 29,30/06/2021,Cas,Parcial,12
Dona,80 o més,25/10/2021,Hospitalització,Completa,4
Dona,60 a 69,27/06/2021,Cas,Parcial,15
Home,50 a 59,28/08/2021,Cas,No iniciada,6
No classificat,No classificat,27/07/2021,Cas,No iniciada,110
Home,0 a 9,25/04/2021,Cas,No iniciada,26
Dona,30 a 39,27/07/2021,Cas,Completa,66
Dona,80 o més,30/11/2021,Cas,Completa,49
Home,20 a 29,14/08/2021,Cas,Parcial,5
Home,20 a 29,23/06/2021,Cas,Completa,3
Dona,60 a 69,26/05/2021,Cas,Completa,2
Dona,70 a 79,14/12/2021,Cas,Completa,101
Dona,30 a 39,23/09/2021,Cas,Completa,10
Dona,20 a 29,10/09/2021,Cas,Parcial,6
Home,50 a 59,08/06/2021,Cas,Parcial,10
Home,60 a 69,08/10/2021,Cas,No iniciada,2
Home,40 a 49,10/06/2021,Cas,Parcial,2
Dona,20 a 29,10/08/2021,Cas,Parcial,22
Home,70 a 79,18/04/2021,Cas,No iniciada,20
Home,30 a 39,08/08/2021,Cas,Completa,14
Home,60 a 69,07/05/2021,Cas,Parcial,16
Dona,80 o més,13/10/2021,Hospitalització,Completa,5
Home,40 a 49,28/08/2021,Cas,No iniciada,11
Dona,30 a 39,15/03/2021,Cas,Parcial,3
Dona,20 a 29,04/09/2021,Cas,No iniciada,19
Home,60 a 69,27/07/2021,Hospitalització,No iniciada,14
Dona,30 a 39,15/06/2021,Cas,Completa,3
Home,60 a 69,25/05/2021,Cas,No iniciada,6
Home,50 a 59,24/03/2021,Cas,Parcial,7
Dona,20 a 29,24/01/2021,Cas,Parcial,2
Dona,50 a 59,04/12/2021,Cas,Completa,79
Dona,70 a 79,27/05/2021,Cas,Completa,7
Dona,70 a 79,23/03/2021,Cas,Parcial,3
Dona,30 a 39,30/03/2021,Cas,Parcial,8
Home,50 a 59,17/03/2021,Cas,No iniciada,78
Home,30 a 39,21/09/2021,Cas,Completa,5
Home,60 a 69,26/04/2021,Cas,Parcial,22
Dona,60 a 69,27/08/2021,Cas,No iniciada,9
Home,60 a 69,14/08/2021,Cas,Parcial,5
Dona,60 a 69,05/08/2021,Cas,No iniciada,16
Home,40 a 49,04/07/2021,Cas,Completa,12
Dona,40 a 49,02/12/2021,Cas,Parcial,3
Home,40 a 49,27/08/2021,Cas,No iniciada,27
Home,50 a 59,05/09/2021,Cas,No iniciada,4
Home,70 a 79,06/05/2021,Cas,Parcial,10
Home,30 a 39,30/11/2021,Cas,Parcial,3
Home,20 a 29,15/09/2021,Cas,No iniciada,13
Home,50 a 59,24/03/2021,Cas,No iniciada,116
Dona,50 a 59,26/04/2021,Hospitalització,No iniciada,12
Dona,10 a 19,23/06/2021,Cas,No iniciada,136
Home,60 a 69,16/10/2021,Cas,Completa,8
Home,40 a 49,29/03/2021,Crítics,No iniciada,4
Home,60 a 69,04/10/2021,Cas,No iniciada,4
Dona,80 o més,28/10/2021,Hospitalització,Completa,3
Home,30 a 39,16/07/2021,Cas,Parcial,125
Dona,60 a 69,05/03/2021,Hospitalització,No iniciada,11
Dona,50 a 59,11/12/2021,Crítics,No iniciada,1
Dona,10 a 19,27/10/2021,Cas,Completa,2
Dona,20 a 29,05/12/2021,Cas,No iniciada,18
Home,0 a 9,22/01/2021,Cas,No iniciada,201
Dona,60 a 69,14/11/2021,Cas,No iniciada,5
Home,10 a 19,13/01/2021,Cas,No iniciada,243
Dona,40 a 49,28/10/2021,Hospitalització,Completa,1
Home,80 o més,14/10/2021,Cas,No iniciada,2
Home,30 a 39,13/10/2021,Cas,No iniciada,13
Dona,20 a 29,20/04/2021,Cas,No iniciada,111
Home,20 a 29,08/07/2021,Cas,Completa,39
Dona,20 a 29,08/02/2021,Cas,No iniciada,138
Dona,80 o més,08/12/2021,Cas,No iniciada,3
Home,50 a 59,31/10/2021,Cas,Completa,10
Dona,50 a 59,10/09/2021,Cas,Completa,20
Dona,30 a 39,05/12/2021,Cas,Completa,83
Home,20 a 29,19/11/2021,Cas,No iniciada,15
Dona,40 a 49,17/10/2021,Cas,Completa,11
Dona,20 a 29,15/09/2021,Cas,No iniciada,10
Home,10 a 19,03/12/2021,Cas,Completa,45
Dona,30 a 39,04/04/2021,Cas,No iniciada,56
Home,40 a 49,01/03/2021,Cas,No iniciada,154
Dona,30 a 39,27/11/2021,Cas,Parcial,1
Dona,0 a 9,16/02/2021,Cas,No iniciada,112
Home,50 a 59,20/10/2021,Cas,No iniciada,5
Home,0 a 9,15/02/2021,Cas,No iniciada,80
Home,70 a 79,27/11/2021,Hospitalització,No iniciada,1
Dona,80 o més,06/12/2021,Cas,Completa,28
Dona,50 a 59,13/05/2021,Cas,No iniciada,51
Home,0 a 9,24/07/2021,Cas,No iniciada,123
Home,10 a 19,08/04/2021,Cas,No iniciada,173
Home,80 o més,23/03/2021,Hospitalització,Parcial,1
No classificat,No classificat,03/06/2021,Cas,No iniciada,15
Home,10 a 19,10/08/2021,Cas,No iniciada,121
Home,50 a 59,21/10/2021,Cas,No iniciada,3
Home,60 a 69,01/11/2021,Cas,Completa,11
Dona,70 a 79,10/01/2021,Hospitalització,No iniciada,10
Home,30 a 39,26/10/2021,Cas,Completa,10
Home,70 a 79,16/01/2021,Hospitalització,No iniciada,30
Home,80 o més,27/10/2021,Defunció,Completa,1
Home,20 a 29,14/01/2021,Cas,No iniciada,219
Home,20 a 29,12/01/2021,Hospitalització,No iniciada,2
Home,30 a 39,25/07/2021,Cas,No iniciada,151
Home,10 a 19,02/11/2021,Cas,No iniciada,24
Dona,30 a 39,03/06/2021,Cas,No iniciada,58
Home,40 a 49,22/10/2021,Cas,No iniciada,9
Home,30 a 39,16/01/2021,Cas,No iniciada,116
Home,0 a 9,20/07/2021,Cas,No iniciada,316
Dona,30 a 39,09/07/2021,Hospitalització,No iniciada,11
Home,50 a 59,01/06/2021,Cas,No iniciada,31
Dona,40 a 49,21/05/2021,Cas,No iniciada,66
Dona,20 a 29,03/06/2021,Cas,No iniciada,37
Dona,30 a 39,24/06/2021,Cas,No iniciada,37
Dona,30 a 39,11/11/2021,Cas,No iniciada,15
Home,80 o més,15/10/2021,Hospitalització,Completa,3
Dona,20 a 29,23/01/2021,Cas,No iniciada,105
Home,50 a 59,01/09/2021,Cas,No iniciada,9
Home,40 a 49,17/02/2021,Cas,No iniciada,145
Dona,60 a 69,21/12/2021,Defunció,Completa,1
Home,30 a 39,14/08/2021,Crítics,No iniciada,1
Dona,30 a 39,02/11/2021,Cas,Completa,33
Home,80 o més,23/04/2021,Hospitalització,Parcial,8
Dona,10 a 19,08/06/2021,Cas,No iniciada,51
Home,50 a 59,12/07/2021,Crítics,No iniciada,5
Dona,20 a 29,20/12/2021,Cas,Parcial,16
Home,60 a 69,17/12/2021,Crítics,Completa,10
Home,60 a 69,21/12/2021,Hospitalització,Completa,19
Home,80 o més,28/10/2021,Hospitalització,No iniciada,2
Dona,50 a 59,15/04/2021,Cas,No iniciada,105
Home,60 a 69,27/10/2021,Cas,Completa,10
Dona,80 o més,19/12/2021,Defunció,No iniciada,3
Home,20 a 29,25/10/2021,Hospitalització,No iniciada,1
Dona,70 a 79,07/11/2021,Cas,No iniciada,2
Home,40 a 49,06/07/2021,Cas,Parcial,190
Dona,70 a 79,20/02/2021,Hospitalització,No iniciada,7
Dona,30 a 39,28/10/2021,Hospitalització,No iniciada,1
Dona,60 a 69,13/08/2021,Cas,Completa,46
Home,50 a 59,20/03/2021,Cas,No iniciada,52
Home,60 a 69,09/12/2021,Cas,Parcial,6
Home,50 a 59,15/07/2021,Cas,Completa,106
No classificat,No classificat,15/07/2021,Hospitalització,No iniciada,7
Home,30 a 39,20/08/2021,Hospitalització,No iniciada,6
Dona,60 a 69,01/11/2021,Cas,No iniciada,5
Dona,10 a 19,04/11/2021,Cas,Completa,7
Home,80 o més,23/12/2021,Hospitalització,No iniciada,2
Home,20 a 29,20/07/2021,Cas,No iniciada,690
